Initial Mass,Initial Metallicity,Overshooting factor,Core Mass,Envelope Mass,Final Fate,Explosion,Termination Code
3.2000,0.0200,0.0160,1.466,1.292,SiCORE*,NO,v_surf_div_v_kh_upper_limit
3.3000,0.0001,0.0000,1.621,1.643,ONeSiWD*,NO,max_model_number
3.3000,0.0001,0.0140,1.508,1.75,SiCORE*,NO,v_surf_kms_limit
3.3000,0.0001,0.0160,1.659,1.599,SiCORE,YES,log_center_density_limit
3.3000,0.0010,0.0000,1.613,1.578,ONeSiWD*,NO,max_model_number
3.3000,0.0010,0.0140,1.484,1.688,SiCORE*,NO,min_timestep_limit
3.3000,0.0010,0.0160,1.674,1.498,SiCORE,YES,log_center_density_limit
3.3000,0.0200,0.0000,1.555,1.314,ONeSiWD*,NO,max_model_number
3.3000,0.0200,0.0140,1.513,1.322,SiCORE*,NO,v_surf_div_v_kh_upper_limit
3.3000,0.0200,0.0160,1.486,1.348,SiCORE*,NO,v_surf_div_v_kh_upper_limit
3.4000,0.0001,0.0000,1.673,1.69,ONeSiWD*,NO,max_model_number
3.4000,0.0001,0.0140,1.486,1.87,SiCORE*,NO,min_timestep_limit
3.4000,0.0001,0.0160,1.739,1.616,SiCORE,YES,log_center_density_limit
3.4000,0.0010,0.0000,1.657,1.628,ONeSiWD*,NO,max_model_number
3.4000,0.0010,0.0140,1.68,1.585,SiCORE,YES,log_center_density_limit
3.4000,0.0010,0.0160,1.504,1.761,SiCORE*,NO,min_timestep_limit
3.4000,0.0200,0.0000,1.6,1.345,ONeSiWD*,NO,max_model_number
3.4000,0.0200,0.0140,1.52,1.391,SiCORE*,NO,min_timestep_limit
3.4000,0.0200,0.0160,1.495,1.415,SiCORE*,NO,min_timestep_limit
3.5000,0.0001,0.0000,1.728,1.733,ONeSiWD*,NO,max_model_number
3.5000,0.0001,0.0140,1.402,2.051,SiCORE*,NO,min_timestep_limit
3.5000,0.0001,0.0160,1.51,1.943,SiCORE*,NO,min_timestep_limit
3.5000,0.0010,0.0000,1.719,1.659,ONeSiWD*,NO,max_model_number
3.5000,0.0010,0.0140,1.764,1.594,SiCORE,YES,log_center_density_limit
3.5000,0.0010,0.0160,1.721,1.637,SiCORE,YES,log_center_density_limit
3.5000,0.0200,0.0000,1.647,1.375,ONeSiWD*,NO,max_model_number
3.5000,0.0200,0.0140,1.465,1.522,SiCORE*,NO,logQ_min_limit
3.5000,0.0200,0.0160,1.516,1.469,SiCORE*,NO,min_timestep_limit
